bank,variant,acc,chance,n_win,n_rec,secs,folds
DCASE-pump-id,even_sub,0.2500,0.2500,120,24,4,0:0.200;1:0.000;2:0.200;3:0.000;4:0.200;5:0.400;6:0.200;7:0.000;8:0.000;9:0.400;10:0.200;11:0.400;12:0.400;13:0.000;14:0.400;15:0.400;16:0.200;17:0.000;18:1.000;19:0.200;20:0.000;21:0.000;22:0.400;23:0.800
DCASE-pump-id,peak_sub,0.2500,0.2500,120,24,4,0:0.000;1:0.000;2:0.000;3:0.000;4:0.000;5:0.200;6:0.000;7:0.600;8:0.200;9:0.400;10:0.000;11:0.200;12:0.400;13:0.400;14:0.000;15:0.200;16:0.600;17:0.200;18:0.200;19:0.400;20:0.200;21:0.200;22:0.600;23:1.000
DCASE-pump-id,level,0.2750,0.2500,120,24,4,0:0.200;1:0.000;2:0.200;3:0.000;4:0.200;5:0.000;6:0.200;7:0.200;8:0.200;9:0.400;10:0.200;11:0.200;12:0.000;13:0.400;14:0.200;15:0.400;16:0.200;17:1.000;18:0.600;19:0.200;20:0.000;21:0.000;22:0.600;23:1.000
DCASE-pump-id,integ,0.2583,0.2500,120,24,4,0:0.000;1:0.000;2:0.200;3:0.000;4:0.000;5:0.000;6:0.000;7:0.200;8:0.000;9:0.200;10:0.000;11:0.000;12:0.200;13:0.400;14:1.000;15:0.800;16:0.000;17:0.800;18:1.000;19:0.200;20:0.000;21:0.000;22:0.200;23:1.000
DCASE-pump-anomaly,base,0.3625,0.5000,80,16,2,0:0.000;1:0.400;2:0.000;3:0.400;4:0.600;5:0.200;6:0.600;7:0.200;8:1.000;9:0.400;10:0.200;11:0.600;12:0.600;13:0.000;14:0.200;15:0.400
DCASE-pump-anomaly,pool4,0.5000,0.5000,80,16,2,0:0.400;1:0.800;2:0.200;3:1.000;4:0.600;5:0.400;6:0.400;7:0.800;8:0.400;9:0.200;10:0.600;11:0.400;12:0.000;13:0.600;14:0.400;15:0.800
DCASE-pump-anomaly,pool16,0.4875,0.5000,80,16,2,0:0.800;1:0.400;2:0.000;3:0.000;4:1.000;5:0.400;6:0.400;7:0.400;8:0.800;9:0.800;10:0.800;11:0.600;12:0.400;13:0.600;14:0.000;15:0.400
DCASE-pump-anomaly,even_sub,0.4750,0.5000,80,16,2,0:0.400;1:0.400;2:0.000;3:0.200;4:1.000;5:0.400;6:0.400;7:0.800;8:0.800;9:0.600;10:0.400;11:0.600;12:0.000;13:0.400;14:0.600;15:0.600
DCASE-pump-anomaly,peak_sub,0.4000,0.5000,80,16,3,0:0.400;1:0.400;2:0.200;3:0.600;4:0.200;5:0.000;6:0.800;7:0.800;8:0.400;9:0.600;10:0.000;11:0.600;12:0.600;13:0.200;14:0.400;15:0.200
DCASE-pump-anomaly,level,0.5250,0.5000,80,16,2,0:0.200;1:0.600;2:0.200;3:0.800;4:1.000;5:0.200;6:0.800;7:0.600;8:0.600;9:0.600;10:0.800;11:0.800;12:0.000;13:0.600;14:0.200;15:0.400
DCASE-pump-anomaly,integ,0.4875,0.5000,80,16,2,0:0.000;1:0.200;2:0.000;3:1.000;4:0.400;5:0.000;6:0.400;7:0.800;8:0.800;9:0.800;10:0.400;11:0.600;12:0.400;13:0.600;14:0.400;15:1.000
IMS-fault,base,0.6094,0.5000,192,12,2,1st-b0:0.625;1st-b1:0.812;1st-b2:0.375;1st-b3:0.312;2nd-b0:0.000;2nd-b1:0.938;2nd-b2:0.625;2nd-b3:0.812;4th-b0:0.875;4th-b1:0.875;4th-b2:0.062;4th-b3:1.000
IMS-fault,pool4,0.7552,0.5000,192,12,2,1st-b0:0.812;1st-b1:1.000;1st-b2:0.812;1st-b3:0.938;2nd-b0:0.500;2nd-b1:1.000;2nd-b2:0.938;2nd-b3:0.625;4th-b0:0.938;4th-b1:1.000;4th-b2:0.125;4th-b3:0.375
IMS-fault,pool16,0.5156,0.5000,192,12,2,1st-b0:0.688;1st-b1:0.750;1st-b2:0.125;1st-b3:0.188;2nd-b0:0.188;2nd-b1:0.625;2nd-b2:0.500;2nd-b3:0.625;4th-b0:0.875;4th-b1:0.875;4th-b2:0.125;4th-b3:0.625
IMS-fault,even_sub,0.5573,0.5000,192,12,2,1st-b0:0.688;1st-b1:0.625;1st-b2:0.188;1st-b3:0.125;2nd-b0:0.250;2nd-b1:0.625;2nd-b2:0.812;2nd-b3:1.000;4th-b0:0.875;4th-b1:0.625;4th-b2:0.062;4th-b3:0.812
IMS-fault,peak_sub,0.4427,0.5000,192,12,2,1st-b0:0.625;1st-b1:0.688;1st-b2:0.062;1st-b3:0.062;2nd-b0:0.062;2nd-b1:0.688;2nd-b2:0.500;2nd-b3:0.625;4th-b0:0.812;4th-b1:0.500;4th-b2:0.000;4th-b3:0.688
IMS-fault,level,0.6562,0.5000,192,12,2,1st-b0:0.625;1st-b1:0.750;1st-b2:0.875;1st-b3:0.312;2nd-b0:0.000;2nd-b1:1.000;2nd-b2:0.562;2nd-b3:0.875;4th-b0:1.000;4th-b1:0.875;4th-b2:0.000;4th-b3:1.000
IMS-fault,integ,0.6510,0.5000,192,12,2,1st-b0:0.812;1st-b1:0.625;1st-b2:0.125;1st-b3:0.750;2nd-b0:0.125;2nd-b1:1.000;2nd-b2:0.250;2nd-b3:0.812;4th-b0:0.938;4th-b1:0.938;4th-b2:0.438;4th-b3:1.000
SEIS-depth,base,0.6875,0.5000,128,16,2,0:1.000;1:0.250;2:0.500;3:1.000;4:0.875;5:1.000;6:1.000;7:0.250;8:0.375;9:0.250;10:1.000;11:0.750;12:0.375;13:0.750;14:0.875;15:0.750
SEIS-depth,pool4,0.7891,0.5000,128,16,2,0:1.000;1:0.750;2:1.000;3:1.000;4:0.375;5:1.000;6:0.875;7:0.000;8:1.000;9:1.000;10:0.875;11:0.750;12:0.500;13:0.875;14:0.625;15:1.000
SEIS-depth,pool16,0.5859,0.5000,128,16,2,0:1.000;1:0.500;2:0.375;3:0.750;4:0.375;5:1.000;6:0.875;7:0.000;8:1.000;9:0.625;10:0.125;11:0.250;12:0.375;13:0.875;14:0.250;15:1.000
